id,BRAND,PURPOSE,OPERATING_SYSTEM,YEAR,PROCESSOR_TYPE,AMD_MODEL,INTEL_MODEL,QUALCOMM_MODEL,GRAPHICS_NUMBER,GRAPHICS_TYPE,GRAPHICS_BRAND,NVIDIA_GRAPHICS,AMD_GRAPHICS,INTEL_GRAPHICS,DRIVE_NUMBER,DRIVE_TYPE,CAPACITY,RAM_NUMBER,RAM_TYPE,RAM_CAPACITY,SCREEN_RESOLUTION,SCREEN_CONDITION,KEYBOARD_LAYOUT,KEYBOARD_CONDITION,LAPTOP_POWER_STATUS,LAPTOP_CHARGER,LAPTOP_USB,LAN_PORT,WIFI_CONDITION,BLUETOOTH_CONDITION
18,Samsung,,,2018,,AMD Ryzen™ 9 7940HS,Atom C3808,,,,,,,,,,,,,,,,,,,,,,,
19,Sony,,,2019,,AMD Ryzen™ 7 7840HX,Atom C3830,,,,,,,,,,,,,,,,,,,,,,,
20,Toshiba,,,2020,,AMD Ryzen™ 7 7840HS,Atom C3850,,,,,,,,,,,,,,,,,,,,,,,
21,Vaio,,,2021,,AMD Ryzen™ 5 7640HS,Atom C3858,,,,,,,,,,,,,,,,,,,,,,,
22,Xiaomi,,,2022,,AMD Ryzen™ 7 7735HS,Atom C3950,,,,,,,,,,,,,,,,,,,,,,,
23,Microsoft Surface,,,2023,,AMD Ryzen™ 5 7535HS,Atom C3955,,,,,,,,,,,,,,,,,,,,,,,
24,,,,2024,,AMD Ryzen™ 7 7840U,Atom C3958,,,,,,,,,,,,,,,,,,,,,,,
25,,,,,,AMD Ryzen™ 5 7640U,Atom C2316,,,,,,,,,,,,,,,,,,,,,,,
26,,,,,,AMD Ryzen™ 7 PRO 7730U,Atom C2516,,,,,,,,,,,,,,,,,,,,,,,
27,,,,,,AMD Ryzen™ 5 7545U,Atom C3338,,,,,,,,,,,,,,,,,,,,,,,
28,,,,,,AMD Ryzen™ 5 7540U,Atom C2308,,,,,,,,,,,,,,,,,,,,,,,
29,,,,,,AMD Ryzen™ 3 8440U,Atom C2508,,,,,,,,,,,,,,,,,,,,,,,
30,,,,,,AMD Ryzen™ 5 PRO 7530U,Atom C2338,,,,,,,,,,,,,,,,,,,,,,,
31,,,,,,AMD Ryzen™ 3 7440U,Atom C2350,,,,,,,,,,,,,,,,,,,,,,,
32,,,,,,AMD Ryzen™ 3 PRO 7330U,Atom C2358,,,,,,,,,,,,,,,,,,,,,,,
33,,,,,,AMD Ryzen™ 7 7736U​,Atom C2518,,,,,,,,,,,,,,,,,,,,,,,
34,,,,,,AMD Ryzen™ 7 7735U,Atom C2530,,,,,,,,,,,,,,,,,,,,,,,
35,,,,,,AMD Ryzen™ 7 7730U,Atom C2538,,,,,,,,,,,,,,,,,,,,,,,
36,,,,,,AMD Ryzen™ 5 7535U,Atom C2550,,,,,,,,,,,,,,,,,,,,,,,
37,,,,,,AMD Ryzen™ 3 7335U,Atom C2558,,,,,,,,,,,,,,,,,,,,,,,
38,,,,,,AMD Ryzen™ 5 7530U,Atom C2718,,,,,,,,,,,,,,,,,,,,,,,
39,,,,,,AMD Ryzen™ 3 7330U,Atom C2730,,,,,,,,,,,,,,,,,,,,,,,
40,,,,,,AMD Ryzen™ 5 7520U,Atom C2738,,,,,,,,,,,,,,,,,,,,,,,
41,,,,,,AMD Ryzen™ 3 7320U,Atom C2750,,,,,,,,,,,,,,,,,,,,,,,
42,,,,,,AMD Ryzen™ 5 7430U,Atom C2758,,,,,,,,,,,,,,,,,,,,,,,
43,,,,,,AMD Ryzen™ 9 6980HX,Atom D2550,,,,,,,,,,,,,,,,,,,,,,,
44,,,,,,AMD Ryzen™ 9 6980HS,Atom D2500,,,,,,,,,,,,,,,,,,,,,,,
45,,,,,,AMD Ryzen™ 9 6900HX,Atom D2700,,,,,,,,,,,,,,,,,,,,,,,
46,,,,,,AMD Ryzen™ 9 6900HS​,Atom E3805,,,,,,,,,,,,,,,,,,,,,,,
47,,,,,,AMD Ryzen™ 7 6800H,Atom E3815,,,,,,,,,,,,,,,,,,,,,,,
48,,,,,,AMD Ryzen™ 7 6800HS,Atom E3825,,,,,,,,,,,,,,,,,,,,,,,
49,,,,,,AMD Ryzen™ 7 6800U​,Atom E3826,,,,,,,,,,,,,,,,,,,,,,,
50,,,,,,AMD Ryzen™ 5 6600H,Atom E3827,,,,,,,,,,,,,,,,,,,,,,,
51,,,,,,AMD Ryzen™ 5 6600HS​,Atom E3845,,,,,,,,,,,,,,,,,,,,,,,
52,,,,,,AMD Ryzen™ 9 5980HX,Atom N2600,,,,,,,,,,,,,,,,,,,,,,,
53,,,,,,AMD Ryzen™ 9 5980HS,Atom N2800,,,,,,,,,,,,,,,,,,,,,,,
54,,,,,,AMD Ryzen™ 5 6600U,Atom P5322,,,,,,,,,,,,,,,,,,,,,,,
55,,,,,,AMD Ryzen™ 7 5825U,Atom P5332,,,,,,,,,,,,,,,,,,,,,,,
56,,,,,,AMD Ryzen™ 9 5900HX,Atom P5342,,,,,,,,,,,,,,,,,,,,,,,
57,,,,,,AMD Ryzen™ 9 5900HS,Atom P5352,,,,,,,,,,,,,,,,,,,,,,,
58,,,,,,AMD Ryzen™ 7 5825C,Atom P5362,,,,,,,,,,,,,,,,,,,,,,,
59,,,,,,AMD Ryzen™ 5 5625U,Atom P5721,,,,,,,,,,,,,,,,,,,,,,,
60,,,,,,AMD Ryzen™ 7 5800H,Atom P5731,,,,,,,,,,,,,,,,,,,,,,,
61,,,,,,AMD Ryzen™ 5 5625C,Atom P5742,,,,,,,,,,,,,,,,,,,,,,,
62,,,,,,AMD Ryzen™ 7 5800HS,Atom P5752,,,,,,,,,,,,,,,,,,,,,,,
63,,,,,,AMD Ryzen™ 5 5600H,Atom P5921B,,,,,,,,,,,,,,,,,,,,,,,
64,,,,,,AMD Ryzen™ 5 5600HS,Atom P5931B,,,,,,,,,,,,,,,,,,,,,,,
65,,,,,,AMD Ryzen™ 5 5500H,Atom P5942B,,,,,,,,,,,,,,,,,,,,,,,
66,,,,,,AMD Ryzen™ 7 5800U,Atom P5962B,,,,,,,,,,,,,,,,,,,,,,,
67,,,,,,AMD Ryzen™ 7 5700U,Atom S1220,,,,,,,,,,,,,,,,,,,,,,,
68,,,,,,AMD Ryzen™ 5 5560U,Atom S1240,,,,,,,,,,,,,,,,,,,,,,,
69,,,,,,AMD Ryzen™ 5 5600U,Atom S1260,,,,,,,,,,,,,,,,,,,,,,,
70,,,,,,AMD Ryzen™ 3 5425U,Atom x6214RE,,,,,,,,,,,,,,,,,,,,,,,
71,,,,,,AMD Ryzen™ 3 5425C,Atom x6416RE,,,,,,,,,,,,,,,,,,,,,,,
72,,,,,,AMD Ryzen™ 5 5500U,Atom x7211E,,,,,,,,,,,,,,,,,,,,,,,
73,,,,,,AMD Ryzen™ 3 5400U,Atom x7213E,,,,,,,,,,,,,,,,,,,,,,,
74,,,,,,AMD Ryzen™ 3 5300U,Atom x7425E,,,,,,,,,,,,,,,,,,,,,,,
75,,,,,,AMD Ryzen™ 3 5125C,Atom x6200FE,,,,,,,,,,,,,,,,,,,,,,,
76,,,,,,AMD Ryzen™ 9 4900H,Atom x6211E,,,,,,,,,,,,,,,,,,,,,,,
77,,,,,,AMD Ryzen™ 9 4900HS,Atom x6212RE,,,,,,,,,,,,,,,,,,,,,,,
78,,,,,,AMD Ryzen™ 7 4800HS,Atom x6413E,,,,,,,,,,,,,,,,,,,,,,,
79,,,,,,AMD Ryzen™ 7 4800H,Atom x6414RE,,,,,,,,,,,,,,,,,,,,,,,
80,,,,,,AMD Ryzen™ 5 4600H,Atom x6425E,,,,,,,,,,,,,,,,,,,,,,,
81,,,,,,AMD Ryzen™ 7 4800U,Atom x6425RE,,,,,,,,,,,,,,,,,,,,,,,
82,,,,,,AMD Ryzen™ 7 4700U,Atom x6427FE,,,,,,,,,,,,,,,,,,,,,,,
83,,,,,,AMD Ryzen™ 5 4600U,Atom x3-C3205RK,,,,,,,,,,,,,,,,,,,,,,,
84,,,,,,AMD Ryzen™ 5 4500U,Atom x3-C3235RK,,,,,,,,,,,,,,,,,,,,,,,
85,,,,,,AMD Ryzen™ 3 4300U,Atom x3-C3265RK,,,,,,,,,,,,,,,,,,,,,,,
86,,,,,,AMD Ryzen™ 3 3250U,Atom x3-C3295RK,,,,,,,,,,,,,,,,,,,,,,,
87,,,,,,AMD Ryzen™ 7 4980U Microsoft Surface® Edition,Atom x5-E3930,,,,,,,,,,,,,,,,,,,,,,,
88,,,,,,AMD Ryzen™ 5 4680U Microsoft Surface® Edition,Atom x5-E3940,,,,,,,,,,,,,,,,,,,,,,,
89,,,,,,AMD Ryzen™ 7 3780U Microsoft Surface® Edition,Atom x7-E3950,,,,,,,,,,,,,,,,,,,,,,,
90,,,,,,AMD Athlon™ Gold 7220U,Atom x5-Z8550,,,,,,,,,,,,,,,,,,,,,,,
91,,,,,,AMD Ryzen™ 7 3750H,Atom x7-Z8750,,,,,,,,,,,,,,,,,,,,,,,
92,,,,,,AMD Ryzen™ 5 3550H,Atom x5-Z8330,,,,,,,,,,,,,,,,,,,,,,,
93,,,,,,AMD Athlon™ Silver 7120U,Atom x5-Z8350,,,,,,,,,,,,,,,,,,,,,,,
94,,,,,,AMD Ryzen™ 7 3700U,Atom x5-E8000,,,,,,,,,,,,,,,,,,,,,,,
95,,,,,,AMD Ryzen™ 3 3350U,Atom x3-C3200RK,,,,,,,,,,,,,,,,,,,,,,,
96,,,,,,AMD Ryzen™ 5 3500U,Atom x3-C3405,,,,,,,,,,,,,,,,,,,,,,,
97,,,,,,AMD Ryzen™ 3 3300U,Atom x3-C3230RK,,,,,,,,,,,,,,,,,,,,,,,
98,,,,,,AMD Ryzen™ 5 3580U Microsoft Surface® Edition,Atom x3-C3445,,,,,,,,,,,,,,,,,,,,,,,
99,,,,,,AMD Ryzen™ 7 3700C,Atom x5-Z8300,,,,,,,,,,,,,,,,,,,,,,,
100,,,,,,AMD Ryzen™ 5 3450U,Atom x5-Z8500,,,,,,,,,,,,,,,,,,,,,,,
101,,,,,,AMD Ryzen™ 3 3200U,Atom x7-Z8700,,,,,,,,,,,,,,,,,,,,,,,
102,,,,,,AMD Ryzen™ 5 3500C,Atom Z3590,,,,,,,,,,,,,,,,,,,,,,,
103,,,,,,AMD Athlon™ Gold 3150U,Atom Z3570,,,,,,,,,,,,,,,,,,,,,,,
104,,,,,,AMD Ryzen™ 3 3250C,Atom Z3736F,,,,,,,,,,,,,,,,,,,,,,,
105,,,,,,AMD Athlon™ 300U,Atom Z3736G,,,,,,,,,,,,,,,,,,,,,,,
106,,,,,,AMD Athlon™ Silver 3050U,Atom Z3530,,,,,,,,,,,,,,,,,,,,,,,
107,,,,,,AMD Athlon™ Silver 3050e,Atom Z3785,,,,,,,,,,,,,,,,,,,,,,,
108,,,,,,AMD Athlon™ Gold 3150C,Atom Z3560,,,,,,,,,,,,,,,,,,,,,,,
109,,,,,,AMD Athlon™ Silver 3050C,Atom Z3580,,,,,,,,,,,,,,,,,,,,,,,
110,,,,,,AMD 3020e,Atom Z3735F,,,,,,,,,,,,,,,,,,,,,,,
111,,,,,,AMD 3015e,Atom Z3735G,,,,,,,,,,,,,,,,,,,,,,,
112,,,,,,AMD 3015Ce,Atom Z3460,,,,,,,,,,,,,,,,,,,,,,,
113,,,,,,AMD Ryzen™ 9 PRO 6950H,Atom Z3480,,,,,,,,,,,,,,,,,,,,,,,
114,,,,,,AMD Ryzen™ 7 PRO 6860Z,Atom Z3735D,,,,,,,,,,,,,,,,,,,,,,,
115,,,,,,AMD Ryzen™ 9 PRO 6950HS,Atom Z3735E,,,,,,,,,,,,,,,,,,,,,,,
116,,,,,,AMD Ryzen™ 7 2800H,Atom Z3775D,,,,,,,,,,,,,,,,,,,,,,,
117,,,,,,AMD Ryzen™ 5 2600H,Atom Z3795,,,,,,,,,,,,,,,,,,,,,,,
118,,,,,,AMD Ryzen™ 7 2700U,Atom Z3745,,,,,,,,,,,,,,,,,,,,,,,
119,,,,,,AMD Ryzen™ 7 PRO 6850H,Atom Z3745D,,,,,,,,,,,,,,,,,,,,,,,
120,,,,,,AMD Ryzen™ 5 2500U,Atom Z3775,,,,,,,,,,,,,,,,,,,,,,,
121,,,,,,AMD Ryzen™ 7 PRO 6850HS,Atom Z3740,,,,,,,,,,,,,,,,,,,,,,,
122,,,,,,AMD Ryzen™ 3 2300U,Atom Z3740D,,,,,,,,,,,,,,,,,,,,,,,
123,,,,,,AMD Ryzen™ 7 PRO 6850U,Atom Z3770,,,,,,,,,,,,,,,,,,,,,,,
124,,,,,,AMD Ryzen™ 3 2200U,Atom Z3770D,,,,,,,,,,,,,,,,,,,,,,,
125,,,,,,AMD Ryzen™ 5 PRO 6650H,Atom Z2520,,,,,,,,,,,,,,,,,,,,,,,
126,,,,,,AMD Ryzen™ 5 PRO 6650HS,Atom Z2560,,,,,,,,,,,,,,,,,,,,,,,
127,,,,,,AMD Ryzen™ 5 PRO 6650U,Atom Z2580,,,,,,,,,,,,,,,,,,,,,,,
128,,,,,,AMD Ryzen™ 7 PRO 5875U,Atom Z2420,,,,,,,,,,,,,,,,,,,,,,,
129,,,,,,AMD Ryzen™ 5 PRO 5675U,Atom Z2480,,,,,,,,,,,,,,,,,,,,,,,
130,,,,,,AMD Ryzen™ 7 PRO 5850U,Atom Z2760,,,,,,,,,,,,,,,,,,,,,,,
131,,,,,,AMD Ryzen™ 3 PRO 5475U,Atom Z2460,,,,,,,,,,,,,,,,,,,,,,,
132,,,,,,AMD Ryzen™ 5 PRO 5650U,Atom Z600,,,,,,,,,,,,,,,,,,,,,,,
133,,,,,,AMD Ryzen™ 3 PRO 5450U,Atom Z615,,,,,,,,,,,,,,,,,,,,,,,
134,,,,,,AMD Ryzen™ 7 PRO 4750U,Atom Z625,,,,,,,,,,,,,,,,,,,,,,,
135,,,,,,AMD Ryzen™ 5 PRO 4650U,Atom Z650,,,,,,,,,,,,,,,,,,,,,,,
136,,,,,,AMD Ryzen™ 3 PRO 4450U,Atom Z670,,,,,,,,,,,,,,,,,,,,,,,
137,,,,,,AMD Ryzen™ 7 PRO 3700U,Atom N570,,,,,,,,,,,,,,,,,,,,,,,
138,,,,,,AMD Ryzen™ 5 PRO 3500U,Atom E645C,,,,,,,,,,,,,,,,,,,,,,,
139,,,,,,AMD Athlon™ PRO 3145B,Atom E645CT,,,,,,,,,,,,,,,,,,,,,,,
140,,,,,,AMD Athlon™ PRO 3045B,Atom E665C,,,,,,,,,,,,,,,,,,,,,,,
141,,,,,,AMD Ryzen™ 3 PRO 3300U,Atom E665CT,,,,,,,,,,,,,,,,,,,,,,,
142,,,,,,AMD Athlon™ PRO 300U Mobile Processor with Radeon™ Vega 3 Graphics,Atom E620,,,,,,,,,,,,,,,,,,,,,,,
143,,,,,,AMD Ryzen™ 7 PRO 2700U,Atom E620T,,,,,,,,,,,,,,,,,,,,,,,
144,,,,,,AMD Ryzen™ 5 PRO 2500U,Atom E640,,,,,,,,,,,,,,,,,,,,,,,
145,,,,,,AMD Ryzen™ 3 PRO 2300U,Atom E640T,,,,,,,,,,,,,,,,,,,,,,,
146,,,,,,7th Gen AMD PRO A4-5350B APU,Atom E660,,,,,,,,,,,,,,,,,,,,,,,
147,,,,,,7th Gen AMD PRO A4-4350B APU,Atom E660T,,,,,,,,,,,,,,,,,,,,,,,
148,,,,,,7th Gen AMD PRO A6-8350B APU,Atom E680,,,,,,,,,,,,,,,,,,,,,,,
149,,,,,,7th Gen AMD PRO A6-7350B APU,Atom E680T,,,,,,,,,,,,,,,,,,,,,,,
150,,,,,,7th Gen A12-9730P APU,Atom N550,,,,,,,,,,,,,,,,,,,,,,,
151,,,,,,7th Gen A12-9700P APU,Atom D425,,,,,,,,,,,,,,,,,,,,,,,
152,,,,,,7th Gen A10-9630P APU,Atom D525,,,,,,,,,,,,,,,,,,,,,,,
153,,,,,,7th Gen A10-9600P APU,Atom N455,,,,,,,,,,,,,,,,,,,,,,,
154,,,,,,7th Gen A9-9425 APU,Atom N475,,,,,,,,,,,,,,,,,,,,,,,
155,,,,,,7th Gen A9-9420 APU,Atom Z560,,,,,,,,,,,,,,,,,,,,,,,
156,,,,,,7th Gen A9-9410 APU,Atom D410,,,,,,,,,,,,,,,,,,,,,,,
157,,,,,,7th Gen A6-9225 APU,Atom D510,,,,,,,,,,,,,,,,,,,,,,,
158,,,,,,7th Gen A6-9220 APU,Atom N450,,,,,,,,,,,,,,,,,,,,,,,
159,,,,,,7th Gen A6-9220C APU,Atom N470,,,,,,,,,,,,,,,,,,,,,,,
160,,,,,,7th Gen A6-9210 APU,Atom Z515,,,,,,,,,,,,,,,,,,,,,,,
161,,,,,,7th Gen A4-9125 APU,Atom Z550,,,,,,,,,,,,,,,,,,,,,,,
162,,,,,,7th Gen A4-9120 APU,Atom Z510P,,,,,,,,,,,,,,,,,,,,,,,
163,,,,,,7th Gen A4-9120C APU,Atom Z510PT,,,,,,,,,,,,,,,,,,,,,,,
164,,,,,,7th Gen AMD PRO A12-9830B APU,Atom Z520PT,,,,,,,,,,,,,,,,,,,,,,,
165,,,,,,7th Gen AMD PRO A12-9800B APU,Atom Z530P,,,,,,,,,,,,,,,,,,,,,,,
166,,,,,,7th Gen AMD PRO A10-9730B APU,Atom N280,,,,,,,,,,,,,,,,,,,,,,,
167,,,,,,7th Gen AMD PRO A10-9700B APU,Atom 330,,,,,,,,,,,,,,,,,,,,,,,
168,,,,,,7th Gen AMD PRO A8-9630B,Atom 230,,,,,,,,,,,,,,,,,,,,,,,
169,,,,,,7th Gen AMD PRO A8-9600B APU,Atom N270,,,,,,,,,,,,,,,,,,,,,,,
170,,,,,,7th Gen AMD PRO A6-9500B APU,Atom Z500,,,,,,,,,,,,,,,,,,,,,,,
171,,,,,,7th Gen FX™ 9830P APU,Atom Z510,,,,,,,,,,,,,,,,,,,,,,,
172,,,,,,7th Gen FX™ 9800P APU,Atom Z520,,,,,,,,,,,,,,,,,,,,,,,
173,,,,,,7th Gen E2-9010 APU,Atom Z530,,,,,,,,,,,,,,,,,,,,,,,
174,,,,,,6th Gen A10-8700P APU,Atom Z540,,,,,,,,,,,,,,,,,,,,,,,
175,,,,,,6th Gen A8-8600P APU,Celeron G6900,,,,,,,,,,,,,,,,,,,,,,,
176,,,,,,6th Gen AMD PRO A12-8830B APU,Celeron G6900E,,,,,,,,,,,,,,,,,,,,,,,
177,,,,,,6th Gen AMD PRO A12-8800B APU,Celeron G6900T,,,,,,,,,,,,,,,,,,,,,,,
178,,,,,,6th Gen AMD PRO A10-8730B APU,Celeron G6900TE,,,,,,,,,,,,,,,,,,,,,,,
179,,,,,,6th Gen AMD PRO A10-8700B APU,Celeron G5905,,,,,,,,,,,,,,,,,,,,,,,
180,,,,,,6th Gen AMD PRO A8-8600B APU,Celeron G5905T,,,,,,,,,,,,,,,,,,,,,,,
181,,,,,,6th Gen AMD PRO A6-8530B APU,Celeron G5925,,,,,,,,,,,,,,,,,,,,,,,
182,,,,,,6th Gen AMD PRO A6-8500B APU,Celeron G5900,,,,,,,,,,,,,,,,,,,,,,,
183,,,,,,6th Gen FX-8800P APU,Celeron G5900E,,,,,,,,,,,,,,,,,,,,,,,
184,,,,,,A10-7400P with Radeon™ R6 Graphics,Celeron G5900T,,,,,,,,,,,,,,,,,,,,,,,
185,,,,,,A10-7300 with Radeon™ R6 Graphics,Celeron G5900TE,,,,,,,,,,,,,,,,,,,,,,,
186,,,,,,A8-7410 with Radeon™ R5 Graphics,Celeron G5920,,,,,,,,,,,,,,,,,,,,,,,
187,,,,,,A8-7200P with Radeon™ R5 Graphics,Celeron G4930E,,,,,,,,,,,,,,,,,,,,,,,
188,,,,,,A8-7100 with Radeon™ R5 Graphics,Celeron G4932E,,,,,,,,,,,,,,,,,,,,,,,
189,,,,,,A8-6410 with Radeon™ R5 Graphics,Celeron G4930,,,,,,,,,,,,,,,,,,,,,,,
190,,,,,,A6-8500P with Radeon™ R5 Graphics,Celeron G4930T,,,,,,,,,,,,,,,,,,,,,,,
191,,,,,,A6-7310 with Radeon™ R4 Graphics,Celeron G4950,,,,,,,,,,,,,,,,,,,,,,,
192,,,,,,A6-7310 with Radeon™ R4 Graphics,Celeron G4900,,,,,,,,,,,,,,,,,,,,,,,
193,,,,,,A6-7000 with Radeon™ R4 Graphics,Celeron G4900T,,,,,,,,,,,,,,,,,,,,,,,
194,,,,,,A6-6310 with Radeon™ R4 Graphics,Celeron G4920,,,,,,,,,,,,,,,,,,,,,,,
195,,,,,,A6-5350M with Radeon™ HD 8450G,Celeron G3930E,,,,,,,,,,,,,,,,,,,,,,,
196,,,,,,A6-5200M with Radeon™ HD 8400,Celeron G3930TE,,,,,,,,,,,,,,,,,,,,,,,
197,,,,,,X940,Celeron G3930,,,,,,,,,,,,,,,,,,,,,,,
198,,,,,,N970,Celeron G3930T,,,,,,,,,,,,,,,,,,,,,,,
199,,,,,,N960,Celeron G3950,,,,,,,,,,,,,,,,,,,,,,,
200,,,,,,N870,Celeron G3900E,,,,,,,,,,,,,,,,,,,,,,,
201,,,,,,P860,Celeron G3902E,,,,,,,,,,,,,,,,,,,,,,,
202,,,,,,N660,Celeron G3900,,,,,,,,,,,,,,,,,,,,,,,
203,,,,,,A4-7210 with Radeon™ R3 Graphics,Celeron G3900T,,,,,,,,,,,,,,,,,,,,,,,
204,,,,,,P650,Celeron G3900TE,,,,,,,,,,,,,,,,,,,,,,,
205,,,,,,N640,Celeron G3920,,,,,,,,,,,,,,,,,,,,,,,
206,,,,,,A4-6210 with Radeon™ R3 Graphics,Celeron G1840,,,,,,,,,,,,,,,,,,,,,,,
207,,,,,,A10 PRO-7350B with Radeon™ R6 Graphics,Celeron G1840T,,,,,,,,,,,,,,,,,,,,,,,
208,,,,,,A8 PRO-7150B with Radeon™ R5 Graphics,Celeron G1850,,,,,,,,,,,,,,,,,,,,,,,
209,,,,,,A6 PRO-7050B with Radeon™ R4 Graphics,Celeron G1820T,,,,,,,,,,,,,,,,,,,,,,,
210,,,,,,A4 PRO-3350B with Radeon™ R4 Graphics,Celeron G1820,,,,,,,,,,,,,,,,,,,,,,,
211,,,,,,A4 PRO-3340B with Radeon™ HD 8240 Graphics,Celeron G1820T,,,,,,,,,,,,,,,,,,,,,,,
212,,,,,,FX-7600P with Radeon™ R7 Graphics,Celeron G1830,,,,,,,,,,,,,,,,,,,,,,,
213,,,,,,FX-7500 with Radeon™ R7 Graphics,Celeron G1620T,,,,,,,,,,,,,,,,,,,,,,,
214,,,,,,AMD Athlon™ PRO 200U Mobile Processor with Radeon™ Vega 3 Graphics,Celeron G1630,,,,,,,,,,,,,,,,,,,,,,,
215,,,,,,E2-7110 with Radeon™ R2 Graphics,Celeron G1610,,,,,,,,,,,,,,,,,,,,,,,
216,,,,,,E2-7110 with Radeon™ R2 Graphics,Celeron G1610T,,,,,,,,,,,,,,,,,,,,,,,
217,,,,,,E2-6110 with Radeon™ R2 Graphics,Celeron G1620,,,,,,,,,,,,,,,,,,,,,,,
